,CDL_FLAG,CONDITION_CODE,EQUIP_PROB_CODE,FAULT_FLAG,INJ_SEVER_CODE,PERSON_ID,PERSON_TYPE,REPORT_NO,SAF_EQUIP_CODE,SEX_CODE,VEHICLE_ID,COLLISION_TYPE_CODE,C_M_ZONE_FLAG,JUNCTION_CODE,LANE_CODE,LIGHT_CODE,RD_COND_CODE,RD_DIV_CODE,SURF_COND_CODE,WEATHER_CODE,AREA_DAMAGED_CODE_MAIN,BODY_TYPE_CODE,DAMAGE_CODE,HIT_AND_RUN_FLAG,MOVEMENT_CODE,TIME,AGE
17520,N,Influenced by Medications and/or Drugs and/or Alcohol,No Misuse,Y,Non-incapacitating Injury,aa7111dc-c2e3-4745-9a17-effdd4581d95,D,MSP5341000C,Shoulder Belt Only,M,bb1d2bf3-ff2e-4cfb-950a-f6d3a6c03c44,Single Vehicle ,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Dry,Clear,Twelve o'clock,Pickup Truck,Disabling,N,Moving Constant Speed,2015-05-04 7:38,47
37476,Y,Apparently Normal,No Misuse,Y,No Injury,79c831ce-626b-40da-b508-95c377589391,D,AC1386001F,Shoulder/Lap Belt(s),M,67c3e5b0-87fa-4f22-8f61-7ab4662b97b3,Angle Meets Left Turn,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Not Divided",Wet,Raining,One o'clock,Passenger Car,Disabling,N,Making Left Turn,2015-10-28 17:17,56
14878,N,Apparently Normal,No Misuse,Y,No Injury,9c58aeb3-b53c-4a6e-8640-c173df77eacd,D,MSP5545000J,Shoulder/Lap Belt(s),M,ccd11b32-2344-4618-a733-862cb154e2b3,Same Direction Rear End,Y,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Wet,Raining,Twelve o'clock,Truck Tractor,Superficial,N,Moving Constant Speed,2015-05-21 11:05,67
20986,N,Apparently Normal,No Misuse,N,No Injury,eabc8d75-f1c2-4d95-a555-b12c2d24a02c,D,MSP58000044,Shoulder/Lap Belt(s),F,2db691e2-6738-488f-b7ed-eb025f24f8b2,Same Direction Rear End,N,Non Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Twelve o'clock,Passenger Car,Functional,N,Slowing or Stopping,2015-08-10 15:57,57
43170,N,Apparently Normal,No Misuse,N,No Injury,25154687-c791-4d19-8ce3-02f30bb280cd,D,CB4607001B,Shoulder/Lap Belt(s),M,60efd139-62e0-47aa-8c8b-92ce96c89944,Same Direction Rear End,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015-10-06 16:43,36
33412,N,Apparently Normal,No Misuse,Y,No Injury,401e949e-9215-4b11-ac7c-9e243202e3cb,D,MSP16890004,Shoulder/Lap Belt(s),F,9a83d9f8-4b00-4abd-8931-aa9a0d4c8b34,Same Direction Rear End,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Twelve o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015-11-20 16:10,28
16861,Y,Apparently Normal,No Misuse,N,No Injury,ac6f9621-8ce0-403a-82d1-55ed9852c668,D,MSP6367005G,Shoulder/Lap Belt(s),M,88dd9f4c-2916-41f3-ae96-7a2c8ee40599,Same Direction Rear End,N,Non Intersection,Left Turn Lane,Daylight,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Six o'clock,"Medium/Heavy Truck 2 axles (10,000 lbs (4,536 kg) or less)",Functional,N,Stopped in Traffic Lane,2015-06-22 7:06,40
42376,N,Apparently Normal,No Misuse,N,No Injury,3ae70a75-d581-4a09-a6f9-e8e6fc5e492f,D,ADJ4470017,Shoulder/Lap Belt(s),M,c8ae4a7e-2434-43a7-8e54-83afadebf37c,Same Direction Left Turn,N,Non Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Dry,Clear,Two o'clock,Passenger Car,Superficial,N,Moving Constant Speed,2015-10-25 19:15,58
34491,N,Apparently Normal,No Misuse,N,No Injury,27e5c625-1253-4a8f-b81b-9b6e7a9880e8,D,MSP59270021,Shoulder/Lap Belt(s),F,74401639-a254-40ac-bd89-b9bd393b1f68,Same Direction Right Turn,N,Non Intersection,Left Turn Lane,Dark Lights On,No Defects,"Two-way, Divided, Positive Median Barrier",Dry,Clear,Twelve o'clock,Passenger Car,Disabling,N,Moving Constant Speed,2015-11-24 18:44,22
19899,N,Apparently Normal,No Misuse,Y,No Injury,8833349a-4f0d-435a-986c-296204da3c39,D,DA3826001F,Shoulder/Lap Belt(s),F,bff501fc-fab4-4c9c-bd90-9d144c19144a,Same Direction Rear End,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Wet,Raining,Twelve o'clock,Passenger Car,Functional,N,Slowing or Stopping,2015-09-12 11:16,50
32308,N,Apparently Normal,No Misuse,Y,No Injury,9bd0f360-ac67-42b9-b161-d21def3532bd,D,MCP1342000W,Shoulder/Lap Belt(s),F,7768aed3-0a61-44ed-adef-f2a7fff947ed,Angle Meets Left Turn,N,Intersection,Right Turn Lane,Daylight,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Wet,Cloudy,Eleven o'clock,Passenger Car,Disabling,N,Making Left Turn,2015-12-14 7:45,17
8026,N,Apparently Normal,No Misuse,Y,No Injury,5173a198-9cc0-4aa9-9a81-6c9d6326c2ad,D,ZR0133000L,Shoulder/Lap Belt(s),M,5013ac0f-2f60-478e-a168-826116614d9e,Same Direction Rear End,N,Intersection Related,Right Turn Lane,Dark No Lights,No Defects,"Two-way, Divided, Unprotected (painted >4 feet) Median",Wet,Raining,Twelve o'clock,Passenger Car,Disabling,N,Slowing or Stopping,2015-01-12 17:40,18
